,ANALYSE 1,ANALYSE 2,ALGEBRE 2,PROCE FABRIC/DESSIN TECHN,ANALYSE DES CIRCUI /OPTIQ,ALGEBRE 1,CHIMIE,ELECTRICITE,THERMODYNAMIQUE,LANGUES,TECHNI D'EXPRESS & COMMU1,Mécanique du point,ELECTROMAGNETISME,ELECTRONIQUE,ANALYS NUMER /PROB & STAT,ALGORITHMIQUE & PROGRAMMA,BASE DE LA CONCEPTION,TECHNO/METALL ET THERMO,TECHNI DOC /PROD DOC/ENTR,DAO ET OUTILS DE MATLAB,ALGEBRE 3,MECANIQUE DU SOLIDE,TECHN D'EXPRE ET DE COMM,FILIERE,MOYENNE
34,7.884,8.602,11.177,10.005,11.688,15.691,11.608,11.625,7.065,14.105,12.878,8.476,8.208,10.614,7.665,9.36,8.141,12.513,14.531,9.814,10.366,5.818,12.886,1.0,10.466
35,19.142,12.536,14.551,8.78,14.939,14.636,15.46,12.127,12.12,12.322,12.912,11.021,11.699,14.544,14.068,14.271,14.876,15.471,15.065,14.497,17.265,8.258,11.87,1.0,13.584
36,5.902,6.63,8.041,8.484,10.297,13.487,10.98,10.402,7.665,12.743,10.889,4.119,9.396,8.461,7.048,6.5,11.392,12.391,10.576,14.897,10.008,5.474,10.377,2.0,9.398
37,7.401,5.697,9.729,11.234,12.932,14.968,12.776,10.956,14.226,14.351,15.199,10.125,10.71,11.745,12.179,13.526,12.952,14.471,16.301,11.898,14.036,9.111,13.856,2.0,12.19
38,6.011,7.532,12.752,9.34,13.098,13.707,13.452,9.741,9.936,15.211,13.977,7.3,8.306,11.236,9.371,11.548,11.154,16.516,13.942,14.594,13.629,8.474,13.885,0.0,11.509
39,10.049,4.989,9.149,10.9,10.074,12.125,9.973,9.877,10.802,11.781,11.427,6.81,6.189,10.191,7.394,9.574,8.82,11.639,12.809,12.377,6.517,7.065,11.563,1.0,9.656
40,9.012,5.286,9.203,11.593,10.423,12.053,9.613,9.729,11.183,11.794,11.334,7.502,5.992,9.911,7.084,9.22,9.085,11.348,13.484,13.262,6.669,6.783,12.072,1.0,9.723
41,10.127,10.502,13.555,12.254,11.366,17.827,15.466,10.606,13.861,13.575,14.016,8.817,8.255,12.358,11.886,11.445,12.204,14.668,16.206,14.561,10.027,7.784,12.257,0.0,12.331
42,8.679,7.402,12.442,8.089,12.02,12.32,8.04,6.802,8.205,13.606,13.11,9.321,8.964,13.351,9.078,11.084,10.48,13.928,13.437,11.541,12.586,6.736,12.983,2.0,10.618
43,7.631,8.259,11.54,9.646,12.015,15.89,11.965,11.582,7.101,13.887,13.342,8.477,8.14,10.04,7.587,9.254,9.115,12.72,14.535,9.358,10.754,5.529,13.219,1.0,10.504
44,6.8,12.757,14.222,10.196,11.885,14.558,12.17,11.757,9.188,13.533,10.789,7.51,9.178,12.106,8.478,13.308,12.674,14.47,15.188,14.762,14.121,7.296,11.531,1.0,11.673
45,9.119,5.752,10.026,10.17,8.723,11.714,9.817,11.708,7.19,12.56,12.624,9.329,8.111,9.826,8.961,10.504,9.629,13.705,11.608,13.227,8.817,3.978,13.107,2.0,10.009
46,11.145,13.347,14.743,15.279,13.783,15.966,13.943,10.116,14.479,13.197,12.455,9.57,9.304,12.05,12.925,15.686,13.123,15.137,14.205,17.68,15.862,10.454,12.801,0.0,13.359
47,8.903,8.287,10.449,8.693,11.933,11.394,12.63,11.705,13.952,11.509,12.647,6.384,6.078,10.454,11.495,10.724,12.456,11.152,13.595,11.523,8.998,6.514,11.512,2.0,10.565
48,5.994,7.16,16.192,13.263,14.782,14.253,14.665,11.941,7.505,14.772,14.705,9.122,11.581,11.72,10.291,11.178,10.747,16.009,13.956,9.806,14.073,6.751,11.976,0.0,11.845
49,5.989,7.127,16.114,13.041,15.189,13.568,14.919,11.707,6.848,14.271,14.658,9.142,10.845,11.703,10.087,11.558,10.575,16.049,13.959,9.855,13.346,6.527,12.223,0.0,11.709
50,12.62,11.853,12.446,9.077,14.431,15.401,13.204,13.853,12.376,13.187,12.007,10.77,10.773,13.299,8.513,9.606,12.063,13.508,12.89,9.943,12.031,8.919,12.455,2.0,11.966
51,8.977,6.086,9.933,10.572,9.069,11.36,9.817,12.031,7.397,12.725,12.985,9.323,7.985,10.061,9.504,10.528,9.486,13.866,11.807,12.785,8.532,3.803,13.41,2.0,10.089
52,6.357,7.861,10.52,8.466,9.793,9.217,9.985,9.661,7.618,13.083,12.973,7.495,10.733,10.374,6.982,6.811,10.707,11.16,11.496,10.548,10.472,5.437,12.725,2.0,9.586
53,6.708,8.729,9.95,8.817,10.993,13.035,12.506,9.98,11.257,12.893,11.938,8.657,8.537,11.312,8.46,8.712,10.764,12.823,14.418,12.971,10.447,5.118,12.225,2.0,10.489
54,13.02,9.403,15.964,9.427,14.892,15.917,14.179,10.606,11.841,14.706,13.554,11.328,10.516,13.83,11.676,12.451,12.973,15.499,15.652,13.206,16.631,9.523,13.538,1.0,13.058
55,4.919,8.217,11.974,7.744,12.29,12.836,11.292,9.483,10.784,12.852,11.806,9.562,10.108,11.225,10.03,10.48,11.606,13.15,14.68,10.608,10.919,5.6,11.48,2.0,10.593
56,7.794,13.154,14.407,13.783,13.403,17.752,15.521,12.675,16.197,14.644,14.677,11.595,10.039,14.667,14.446,14.223,14.318,16.322,15.686,16.702,17.196,11.197,14.272,0.0,14.116
57,9.734,11.45,13.593,11.965,13.414,17.479,10.915,11.316,11.787,12.993,12.282,10.693,9.061,13.184,9.508,10.733,12.097,13.11,12.355,15.383,13.845,10.731,12.369,0.0,12.174
58,5.069,6.896,9.941,8.322,13.522,10.56,14.456,12.103,12.728,14.441,14.007,10.472,10.938,11.795,7.88,10.273,13.818,16.679,17.087,13.111,10.813,10.523,13.095,0.0,11.675
59,10.632,11.877,11.589,7.947,13.049,12.636,13.918,11.472,13.899,12.418,9.465,7.573,8.008,11.071,12.861,11.764,11.025,14.681,12.942,13.058,10.696,7.046,9.393,1.0,11.262
60,5.8,6.869,15.946,12.929,15.206,13.715,14.735,11.962,7.115,14.465,14.409,8.782,10.901,11.965,10.225,10.958,10.792,16.046,14.17,9.948,14.105,6.345,12.384,0.0,11.729
61,8.91,8.145,9.989,8.901,11.376,10.722,12.362,11.779,13.973,11.435,12.903,6.654,5.749,10.35,11.277,10.259,12.42,11.238,13.367,11.882,8.946,6.097,11.611,2.0,10.45
62,8.988,5.951,10.177,10.567,8.619,11.844,9.666,12.029,7.254,12.429,13.14,9.171,7.902,9.888,8.944,10.694,9.499,13.722,11.275,12.783,8.603,4.453,12.761,2.0,10.016
63,5.016,6.124,9.894,10.228,11.839,13.431,11.805,10.134,13.732,12.506,13.052,7.644,10.835,12.847,7.595,10.313,13.611,13.045,13.718,13.657,14.859,7.935,11.287,0.0,11.092
64,6.651,9.806,9.007,11.164,11.628,13.972,12.962,14.119,14.426,12.517,13.465,9.554,9.587,11.202,9.975,11.596,12.924,13.808,11.47,13.493,10.253,7.418,12.747,1.0,11.467
65,10.11,10.747,12.986,12.0,8.105,15.0,10.841,11.456,10.417,12.866,12.231,7.131,8.193,11.391,9.744,11.524,13.81,15.306,12.928,15.629,12.947,8.175,11.037,0.0,11.503
66,9.219,12.396,10.1,7.63,12.416,15.633,14.17,8.485,11.229,13.371,12.848,9.285,10.151,11.032,7.691,7.738,11.769,12.782,15.484,13.849,13.285,8.849,12.637,0.0,11.393
67,8.024,10.251,12.829,12.998,13.307,13.781,11.13,8.677,13.796,13.907,14.022,9.044,9.969,12.849,10.53,10.25,13.172,13.937,14.998,11.119,11.857,8.945,12.961,1.0,11.841
68,4.894,6.363,11.141,12.398,12.755,11.185,12.889,10.49,12.631,12.499,13.988,8.642,6.772,13.265,11.242,13.454,12.708,13.501,16.253,16.943,14.7,9.67,12.719,0.0,11.787
69,12.509,9.526,15.062,9.209,13.419,13.957,12.807,13.321,13.324,12.811,11.398,8.658,9.554,12.945,9.005,7.988,12.711,14.971,14.818,15.639,15.419,8.506,12.272,0.0,12.166
70,5.219,6.856,9.229,8.294,13.39,10.765,14.329,11.769,13.03,14.667,14.187,10.519,10.283,11.177,8.26,10.289,13.719,16.287,16.914,12.621,10.661,10.389,12.727,0.0,11.547
71,6.365,6.06,8.002,7.126,10.981,13.791,11.224,8.557,9.254,14.012,12.753,9.81,9.485,11.214,7.553,8.257,10.44,14.872,13.862,12.887,12.362,6.948,11.619,2.0,10.323
72,9.656,11.018,12.657,12.744,15.201,15.167,13.72,11.583,14.692,13.593,15.165,9.489,9.204,13.311,11.64,13.896,13.153,14.146,15.267,17.159,14.136,11.068,13.36,1.0,13.088
73,5.525,8.075,9.391,8.056,11.45,9.398,8.535,9.979,10.935,13.666,14.166,8.881,9.651,9.842,10.768,9.88,12.009,13.187,14.749,11.565,13.928,7.27,11.597,1.0,10.544
74,10.172,9.471,14.199,6.163,12.29,10.715,12.487,12.889,16.626,11.917,8.856,10.758,10.63,11.734,7.602,5.454,13.601,11.764,8.561,8.98,11.726,7.084,8.541,2.0,10.531
75,4.967,8.851,10.351,9.498,12.167,11.488,13.109,10.048,12.841,14.055,13.052,11.164,11.674,14.186,11.286,9.713,12.049,15.299,13.558,15.035,12.53,7.893,13.084,0.0,11.648
76,5.965,8.675,9.141,7.813,11.559,10.168,9.007,10.044,11.132,13.75,13.804,8.88,9.168,9.916,11.016,10.049,11.962,12.367,14.925,11.531,14.025,7.37,11.547,1.0,10.601
77,5.079,6.107,11.603,12.11,12.389,10.766,12.729,10.515,11.603,12.541,14.238,8.764,7.056,12.439,11.518,12.884,12.241,14.058,15.722,17.173,14.599,9.55,12.657,0.0,11.667
78,9.793,10.228,13.19,11.649,8.435,15.529,10.628,11.263,10.731,12.8,12.116,7.088,8.409,12.22,9.82,12.501,13.039,15.827,13.305,15.556,13.382,7.731,11.237,0.0,11.586
79,7.986,8.828,11.59,9.925,11.911,15.956,11.756,11.623,7.705,13.822,13.231,8.92,8.139,9.539,7.446,9.147,8.73,12.54,14.799,9.227,10.322,5.967,13.037,1.0,10.528
80,12.615,11.871,12.372,9.014,14.53,14.858,13.241,13.661,12.392,13.263,12.595,11.657,10.685,13.402,8.446,9.21,11.874,13.22,12.779,10.104,12.705,9.094,12.739,2.0,12.014
81,6.447,7.62,12.2,9.312,13.225,11.361,13.129,9.132,8.775,13.657,12.418,9.997,10.819,13.741,9.41,13.025,14.221,14.526,15.244,17.614,14.13,8.181,13.043,0.0,11.793
82,6.037,11.404,11.484,6.826,11.804,10.61,10.169,9.679,10.966,11.802,11.94,10.208,9.398,9.737,9.893,10.931,12.237,14.322,12.74,16.663,14.57,9.922,11.869,1.0,11.096
83,13.954,13.942,14.451,10.233,15.2,17.61,12.45,13.481,11.785,12.804,10.559,11.427,10.441,15.108,13.259,12.145,12.531,16.191,15.43,17.063,13.651,11.132,12.587,1.0,13.367
84,6.027,7.606,12.602,10.298,11.886,16.139,16.015,13.333,14.464,12.616,10.726,12.944,12.705,10.008,10.431,9.605,13.052,13.322,13.544,9.796,10.927,8.012,13.245,1.0,11.709
85,5.035,11.422,10.935,8.925,11.77,5.512,10.045,7.305,5.13,13.265,10.385,7.439,9.121,12.638,13.522,12.103,11.318,13.796,13.172,14.208,11.893,8.946,10.35,2.0,10.358
86,10.174,9.64,9.553,11.217,12.574,13.458,9.045,12.128,11.871,14.065,12.913,9.844,7.806,8.715,8.879,11.661,13.521,15.206,13.951,10.785,13.055,5.713,12.569,0.0,11.232
87,7.959,7.223,10.246,12.126,11.258,13.574,12.317,10.484,10.312,12.659,12.01,9.825,9.701,11.31,10.18,9.698,10.777,14.35,14.552,11.662,12.238,7.59,12.39,1.0,11.063
88,6.295,9.855,8.895,11.076,11.104,14.453,13.057,14.045,14.44,12.536,13.32,9.242,9.994,10.857,9.337,12.306,12.492,13.875,12.025,14.158,11.098,7.321,12.971,1.0,11.511
89,9.563,13.042,9.992,8.124,12.481,15.345,14.071,9.091,11.596,13.15,13.071,9.742,9.974,11.601,7.874,7.134,12.093,12.84,15.25,13.244,13.348,8.514,12.554,0.0,11.465
90,10.656,13.618,14.726,15.451,13.8,16.356,13.711,10.421,14.854,12.929,12.366,9.626,9.188,12.551,12.723,16.035,13.299,15.8,14.537,17.91,16.741,10.542,12.052,1.0,13.474
91,7.999,10.296,12.998,13.317,13.781,14.151,10.822,9.08,13.54,14.213,13.024,7.886,9.667,11.846,10.237,10.835,13.568,14.429,15.857,11.368,12.317,9.493,13.004,1.0,11.901
92,11.962,14.731,17.422,7.033,13.498,16.544,14.101,12.834,14.642,13.578,14.091,12.21,10.107,10.742,10.439,9.642,10.273,13.618,14.318,9.625,16.427,9.677,12.274,0.0,12.6
93,11.714,8.318,16.769,8.364,14.571,16.426,15.55,11.005,17.15,14.712,14.369,11.581,8.519,13.72,8.996,11.657,13.413,13.892,15.577,13.539,12.375,11.768,13.393,0.0,12.929
94,4.87,9.989,11.645,8.582,13.267,16.08,12.829,13.388,13.511,12.949,13.692,8.521,6.599,14.298,10.783,12.634,10.668,13.722,15.732,14.173,12.869,7.176,13.197,2.0,11.79
95,13.104,8.575,5.489,7.914,10.841,16.043,11.941,12.462,14.555,14.423,12.953,7.603,8.975,9.967,8.266,6.524,10.03,11.624,11.982,11.599,8.919,5.428,11.547,2.0,10.468
96,4.748,7.121,9.383,8.848,13.73,10.345,14.174,12.691,12.453,14.343,14.426,10.025,10.431,11.017,8.597,10.28,13.999,15.945,17.065,12.623,10.592,10.396,12.609,0.0,11.558
97,13.042,14.314,12.813,10.184,13.306,17.042,12.425,10.144,14.238,12.012,12.366,9.188,6.824,9.279,11.22,14.56,13.043,14.209,13.983,9.133,14.241,10.154,11.885,0.0,12.157
98,5.307,6.306,11.734,11.914,12.713,10.938,12.67,10.826,11.804,12.243,13.937,8.592,7.031,12.868,10.848,13.447,12.49,13.383,15.518,16.317,13.844,9.04,12.241,0.0,11.566
99,7.783,13.369,14.482,13.257,13.469,17.79,15.928,12.436,15.82,14.443,14.34,11.352,10.238,14.582,14.407,14.575,14.113,16.309,15.422,16.572,17.202,11.359,14.454,0.0,14.074
100,10.674,11.909,12.74,9.758,14.399,14.129,11.768,10.947,13.623,12.572,11.173,10.224,13.803,14.949,8.772,9.413,14.455,14.089,13.782,13.421,18.868,11.088,10.797,0.0,12.494
101,6.058,12.229,15.329,11.455,11.637,15.991,13.532,12.226,15.468,13.004,12.432,11.604,9.894,13.017,8.964,10.06,11.913,14.042,14.557,14.575,13.503,7.641,12.722,1.0,12.254
102,5.36,8.298,7.592,12.496,10.232,13.183,11.733,11.745,10.855,12.611,12.85,8.046,6.938,10.601,9.174,5.951,12.161,10.814,14.21,13.49,11.041,7.196,11.885,1.0,10.368
103,6.856,11.113,11.8,7.764,10.593,11.427,11.162,8.589,10.422,14.625,14.374,9.73,10.961,11.504,13.581,11.087,12.892,16.688,15.111,11.18,11.016,9.383,14.468,0.0,11.579
104,9.181,4.869,10.036,10.637,11.552,10.679,10.791,7.691,6.059,12.401,13.649,8.35,8.639,10.601,9.397,16.105,11.438,13.801,14.088,14.509,13.366,5.278,13.311,0.0,10.714
105,5.052,8.807,10.536,7.32,11.438,13.838,9.078,10.453,7.691,13.845,11.161,9.502,5.696,10.297,7.348,7.603,11.813,12.89,13.122,13.042,11.803,8.85,12.913,2.0,10.178
106,8.357,9.053,11.463,8.179,11.949,14.086,12.465,11.925,10.6,14.561,12.63,8.268,9.69,11.921,8.877,11.288,12.318,14.705,14.088,10.62,11.71,9.202,16.031,2.0,11.478
107,9.776,8.316,8.992,10.75,12.939,17.232,12.6,13.096,13.741,13.303,12.22,11.511,8.804,10.392,10.241,11.625,11.436,15.777,12.713,15.996,14.665,8.99,13.253,2.0,12.103
108,13.909,14.354,14.7,9.973,15.283,17.416,11.959,13.463,11.708,12.948,11.222,11.866,10.507,14.332,13.117,12.406,12.31,15.884,14.867,17.41,13.815,11.164,12.369,1.0,13.347
109,6.915,9.51,13.229,10.085,12.808,17.303,15.755,12.543,14.433,14.536,14.445,10.952,12.014,13.585,10.914,13.562,11.807,17.09,15.389,16.041,12.593,11.592,13.461,0.0,13.068
110,5.092,7.255,6.171,7.752,11.444,6.367,9.975,10.723,5.985,13.479,13.32,7.203,9.734,9.488,7.726,7.173,10.091,14.673,14.11,13.629,7.5,5.304,14.017,2.0,9.487
111,11.214,7.337,10.462,10.466,11.89,14.368,9.155,10.241,8.144,11.936,10.684,6.236,9.093,9.913,9.23,9.177,10.111,13.554,12.606,16.926,8.636,6.442,10.473,1.0,10.361
112,10.138,10.271,12.935,11.515,8.566,14.657,10.711,11.205,10.75,12.797,12.227,7.039,8.291,11.892,10.076,11.671,13.459,15.563,13.168,15.649,13.008,8.191,11.322,0.0,11.526
113,5.711,5.075,8.551,6.573,8.953,11.101,9.792,11.212,9.116,13.801,13.738,7.877,6.193,8.289,5.836,8.101,10.583,11.835,13.809,7.11,8.4,5.371,13.337,2.0,9.146
114,18.669,12.581,14.676,9.031,14.929,14.183,15.841,11.912,12.538,12.259,12.928,10.93,11.907,14.085,14.064,14.134,15.239,15.95,15.622,14.628,17.082,8.458,11.6,0.0,13.619
115,12.848,9.614,15.949,9.222,14.54,16.515,14.001,10.466,11.884,15.402,13.507,11.328,10.803,14.146,12.048,12.873,12.722,15.317,15.378,13.692,15.956,9.807,12.951,0.0,13.086
116,10.016,8.673,4.764,7.321,9.357,10.569,10.48,12.061,9.63,12.779,11.89,8.433,9.938,9.83,7.865,11.061,14.186,15.617,14.381,13.911,12.579,6.513,12.251,2.0,10.613
117,10.074,5.384,11.52,8.559,10.656,13.289,10.609,10.455,12.318,12.391,11.938,8.608,10.101,12.828,9.701,10.13,12.711,14.277,15.47,10.448,14.288,10.229,12.608,0.0,11.243
118,7.46,10.071,13.487,9.823,12.784,17.224,15.415,13.32,13.952,14.873,14.642,10.883,11.881,14.015,11.123,13.385,11.875,16.893,15.908,16.073,12.436,11.321,13.856,0.0,13.161
119,13.938,14.238,14.684,10.476,14.947,17.295,11.77,13.382,12.09,12.733,10.651,11.664,10.649,15.144,13.194,12.095,12.689,15.527,14.912,17.057,13.798,10.931,11.992,1.0,13.298
120,8.633,11.872,13.021,10.505,12.417,13.627,11.763,12.547,12.533,13.998,13.888,10.152,8.617,13.524,12.671,11.072,12.291,15.861,16.07,13.503,11.757,8.834,12.411,0.0,12.242
121,9.875,11.902,13.791,9.723,13.192,15.252,14.534,10.04,12.996,12.14,12.459,9.642,10.07,13.049,10.843,11.842,13.465,14.065,14.153,13.808,13.319,10.074,10.956,1.0,12.226
122,6.741,15.574,8.698,7.365,11.366,13.037,11.825,11.022,12.335,12.493,10.831,8.876,8.909,10.349,10.359,10.068,10.204,13.846,9.449,13.932,9.141,8.855,12.19,1.0,10.759
123,10.161,5.433,11.71,8.958,10.754,13.357,10.017,10.471,11.818,12.777,12.147,9.085,10.208,12.78,9.741,10.299,12.663,14.39,15.613,10.587,13.494,10.61,12.252,0.0,11.275
124,5.478,6.944,11.427,12.417,12.458,11.428,13.061,10.765,11.756,12.402,14.574,9.075,6.653,12.588,11.467,12.766,12.408,13.429,15.918,17.015,14.401,9.572,12.923,0.0,11.779
125,9.959,11.932,13.463,10.116,12.988,15.365,14.452,9.582,13.278,12.437,12.622,9.464,9.998,12.7,10.74,11.749,13.76,13.78,14.083,13.263,14.017,10.436,10.99,1.0,12.225
126,9.888,11.857,13.785,11.807,13.111,17.189,10.73,11.792,12.091,12.812,12.555,10.862,8.886,13.451,9.901,10.257,11.91,13.713,12.244,15.36,14.419,11.115,12.61,0.0,12.276
127,6.836,8.107,9.049,9.466,11.146,10.099,10.163,11.293,11.479,12.807,10.916,7.891,6.071,10.832,9.627,10.653,12.699,13.969,13.162,10.197,5.421,5.845,11.741,1.0,9.977
128,6.908,9.953,10.836,9.216,12.305,10.758,11.111,12.861,13.163,13.372,12.693,8.005,6.988,9.587,8.998,10.13,13.32,12.984,11.795,14.018,9.06,7.095,12.909,1.0,10.786
129,6.664,10.747,11.796,6.906,12.066,10.518,10.379,10.025,10.962,12.035,11.762,10.722,9.728,9.486,9.975,10.456,11.736,14.306,12.757,16.659,14.162,9.554,12.06,1.0,11.107
