,ANALYSE 1,ANALYSE 2,ALGEBRE 2,PROCE FABRIC/DESSIN TECHN,ANALYSE DES CIRCUI /OPTIQ,ALGEBRE 1,CHIMIE,ELECTRICITE,THERMODYNAMIQUE,LANGUES,TECHNI D'EXPRESS & COMMU1,Mécanique du point,ELECTROMAGNETISME,ELECTRONIQUE,ANALYS NUMER /PROB & STAT,ALGORITHMIQUE & PROGRAMMA,BASE DE LA CONCEPTION,TECHNO/METALL ET THERMO,TECHNI DOC /PROD DOC/ENTR,DAO ET OUTILS DE MATLAB,ALGEBRE 3,MECANIQUE DU SOLIDE,TECHN D'EXPRE ET DE COMM,FILIERE,MOYENNE,OUTPUT
10,13.395,8.776,9.704,12.832,12.666,17.009,12.762,12.134,12.997,12.876,11.623,8.454,9.047,10.868,12.138,15.354,12.37,15.572,13.954,17.891,14.593,10.103,11.36,1.0,12.543,13.13
11,7.574,8.718,11.709,10.172,11.496,15.44,11.576,11.55,6.242000000000001,13.093,13.635,8.552,8.243,10.427,7.842,9.543,8.926,12.598,14.504,9.683,10.32,5.352,13.623,1.0,10.47,11.447
12,7.359,8.152999999999999,11.35,10.662,13.257,12.35,12.825,9.834,13.308,13.764,12.648,9.421,12.111,12.329,9.072,10.612,10.728,17.403,16.605,13.245,12.214,10.414,12.963,0.0,11.853,14.055
13,13.162,8.142000000000001,5.215,8.104,10.893,16.334,12.208,12.422,14.659,13.978,12.836,7.791,9.089,10.14,8.536,6.505,9.699,11.618,11.951,11.995,9.473,5.131,11.581,2.0,10.498,12.625
14,8.185,5.523,8.771,10.178,10.312,8.814,5.877999999999999,9.178,7.724,12.723,12.868,5.7010000000000005,7.334,12.411,7.588999999999999,9.89,10.605,10.839,14.5,11.130999999999998,6.499,5.59,10.441,2.0,9.247,8.574
15,9.276,11.287,15.742,11.753,12.553,14.099,13.877,12.671,13.299,13.856,13.095999999999998,10.819,9.529,14.449000000000002,12.919,13.354,13.365,15.893,12.876,18.739,14.773,10.817,11.871,0.0,13.083,13.628
16,8.004,5.695,11.14,10.81,12.913,11.115,12.121,10.823,12.917,13.166,14.274,9.06,10.607,12.795,8.283,12.913,12.314,14.293,15.390999999999998,15.209,12.388,8.469,11.526,0.0,11.575,13.668
17,8.228,11.401,9.265,13.418,12.199000000000002,12.108,11.519,12.368,11.321,11.813,11.402,9.81,9.426,11.158,12.63,13.312,13.553,14.046,11.91,9.034,13.143,8.635,10.497,2.0,11.4,12.849
18,6.261,8.314,10.904000000000002,11.28,14.03,14.128,12.128,10.5,10.031,12.076,12.289,6.917999999999998,9.557,12.674,10.519,13.467,11.648,15.345999999999998,15.161,16.207,11.02,10.007,12.111,0.0,11.59,12.398
19,4.7780000000000005,8.449,9.959,9.698,12.858,11.41,13.186,10.071,12.822,13.67,13.063,10.99,11.524,14.063,11.872,9.803,11.747,15.31,13.202,15.025,12.436,7.665,13.621,0.0,11.618,13.646
20,5.505,10.042,14.4,9.254,13.048,10.861,12.584,10.776,13.552,13.140999999999998,12.109000000000002,9.869,13.939,14.47,13.07,14.189,15.936,15.72,15.074000000000002,12.293,15.531,11.069,13.457,1.0,12.604,13.334
21,8.696,5.356,8.287,7.309,12.581,11.814,12.582,10.82,11.913,13.496,12.356,9.718,8.463,8.812999999999997,10.251,9.754,10.629,13.275,12.059,13.759,14.435,6.926,11.371,2.0,10.637,12.6
22,7.814,5.606,11.422,11.653,12.46,10.761,12.316,11.049,12.405,13.067,14.716,8.881,10.462,12.507,8.616,13.39,12.763,14.186,15.527,15.263,12.865,8.542,11.532,0.0,11.644,13.704
23,7.746,5.316,10.558,10.8,13.227,14.775,12.066,12.69,13.822,13.798,13.754,11.169,9.244,10.622,11.630999999999998,11.106,12.062,14.225,13.864,11.85,13.671,7.278,13.015,1.0,11.665,12.597
24,10.525,9.971,10.428,10.823,11.933,13.623,9.371,12.044,12.148,13.511,13.379,10.322,8.152000000000001,8.7,9.317,11.62,13.335,15.595999999999998,14.037,10.906,12.806,5.908,12.601,0.0,11.35,11.792
25,10.837,12.509,8.907,10.345,13.929,13.737,13.464,12.294,14.3,12.913,12.713,10.38,9.811,11.8,11.4,9.46,13.947,14.925,15.776,13.387,11.253,7.5379999999999985,11.428,0.0,12.046,12.151
26,7.7360000000000015,7.742000000000001,11.761,9.775,12.468,14.978,12.463,10.009,11.943,13.952,13.753,10.93,10.663,10.329,8.256,8.109,12.378,14.791,14.852,10.44,13.196,6.062,12.996,0.0,11.286,13.04
27,5.649,5.936,8.574,6.898,8.982000000000003,11.099,9.679,11.752,8.98,13.857,13.734000000000002,7.72,5.917000000000002,7.947,5.2410000000000005,8.555,10.841,11.807,13.717,7.47,8.396,5.565,13.285,2.0,9.2,12.15
28,5.816,4.808,10.609000000000002,11.117,12.957,13.701,12.525,11.495,13.085,13.589,14.143,7.972,7.677,12.032,9.223,10.075,13.196,15.202,13.633,12.394,10.493,7.207999999999998,12.904000000000002,2.0,11.124,12.152
29,6.301,12.307,15.042,11.984000000000002,11.675,16.194000000000006,13.935,11.95,15.387,13.643,12.664,11.483,10.178,13.435,9.021,10.226,12.092,13.888,14.862,14.616,13.367,8.017999999999999,12.89,1.0,12.398,13.15
30,7.061,7.81,11.505,10.558,13.678,12.807,13.050999999999998,10.221,12.925,13.075,13.022,8.956,11.813,12.380999999999998,9.155,10.656,10.392,17.162,15.772,13.197,12.75,9.889,13.354,0.0,11.791,13.753
31,5.044,8.785,12.146,7.463999999999999,12.324000000000002,12.674,11.229,9.229,11.394,13.07,11.884,10.17,10.322,10.9,10.17,10.681,12.08,12.936,13.981,10.158,10.635,6.29,11.919,2.0,10.673,11.903
32,10.298,13.09,16.578,10.91,16.11,14.929,16.154,12.544,16.797,14.521,14.023,11.755999999999998,10.578,13.431,13.319,9.827,12.707,16.512999999999998,14.438,12.058,18.404,5.787000000000001,12.859000000000002,2.0,13.375,13.959
33,5.0360000000000005,7.002999999999999,10.476,10.245,10.8,11.155,12.855,11.212,8.47,12.823,12.59,8.359,10.706,11.634,8.637,11.803,11.353,14.279000000000002,14.933,12.902,11.806,7.39,12.465,2.0,10.823,12.023
34,7.883999999999999,8.602,11.177,10.005,11.688,15.691,11.608,11.625,7.065,14.105,12.878,8.476,8.208,10.614,7.665,9.36,8.141,12.513,14.531,9.814,10.366,5.818,12.886,1.0,10.466,11.548
35,19.142,12.536,14.550999999999998,8.78,14.939,14.636,15.46,12.127,12.12,12.322,12.912,11.021,11.699000000000002,14.544,14.068,14.271,14.876,15.470999999999998,15.065,14.497,17.265,8.258,11.87,1.0,13.584,15.715
36,5.902,6.63,8.041,8.484,10.297,13.487,10.98,10.402,7.665,12.743,10.889,4.119,9.396,8.461,7.047999999999999,6.5,11.392,12.390999999999998,10.576,14.897,10.008,5.474,10.377,2.0,9.398,10.289
37,7.401,5.697,9.729,11.234000000000002,12.932,14.968,12.776,10.956,14.226,14.351,15.199000000000002,10.125,10.71,11.745,12.179,13.526,12.952,14.470999999999998,16.301,11.898,14.036,9.111,13.856,2.0,12.19,13.976
38,6.011,7.532,12.752,9.34,13.098,13.707,13.452,9.741,9.936,15.211,13.977,7.3,8.306000000000001,11.236,9.371,11.548,11.154000000000002,16.516,13.942,14.594,13.629,8.474,13.885,0.0,11.509,13.233
39,10.049,4.989,9.149,10.9,10.074,12.125,9.973,9.877,10.802,11.781,11.427,6.81,6.189,10.191,7.394,9.574,8.82,11.639,12.809,12.377,6.517,7.065,11.563,1.0,9.656,11.406
40,9.012,5.2860000000000005,9.203,11.593,10.423,12.053,9.613,9.729,11.183,11.794,11.334,7.502000000000002,5.992000000000001,9.911,7.084,9.22,9.085,11.348,13.484000000000002,13.262,6.669,6.783,12.072,1.0,9.723,11.335
41,10.127,10.502,13.555,12.254,11.366,17.827,15.466,10.606,13.861,13.575,14.015999999999998,8.817,8.255,12.358,11.886,11.445,12.204,14.668,16.206,14.561,10.027,7.784,12.257,0.0,12.331,13.715
42,8.679,7.402,12.442,8.089,12.02,12.32,8.04,6.8020000000000005,8.205,13.606,13.11,9.321,8.964,13.351,9.078,11.084,10.48,13.928,13.437,11.541,12.586,6.7360000000000015,12.983,2.0,10.618,11.417
43,7.631,8.259,11.54,9.646,12.015,15.89,11.965,11.582,7.101,13.887,13.342,8.477,8.14,10.04,7.5870000000000015,9.254,9.115,12.72,14.535,9.358,10.754,5.529,13.219,1.0,10.504,11.589
44,6.8,12.757,14.222,10.196,11.885,14.558,12.17,11.757,9.188,13.533,10.789,7.51,9.178,12.106,8.478,13.308,12.674,14.47,15.188,14.762,14.121,7.296,11.531,1.0,11.673,12.62
45,9.119,5.752000000000002,10.026,10.17,8.722999999999999,11.714,9.817,11.708,7.19,12.56,12.624,9.329,8.111,9.826,8.961,10.504,9.629,13.705,11.608,13.227,8.817,3.978,13.107,2.0,10.009,11.532
46,11.145,13.347,14.743,15.279000000000002,13.783,15.966,13.943,10.116,14.479,13.197,12.455,9.57,9.304,12.05,12.925,15.686,13.123,15.137,14.205,17.68,15.862,10.454,12.800999999999998,0.0,13.359000000000002,14.357
47,8.902999999999997,8.287,10.449000000000002,8.693,11.933,11.394,12.63,11.705,13.952,11.509,12.647,6.384,6.0779999999999985,10.454,11.495,10.724,12.456,11.152,13.595,11.523,8.998,6.5139999999999985,11.512,2.0,10.565,11.334
48,5.994,7.16,16.192,13.263,14.782,14.253,14.665,11.941,7.505,14.772,14.705,9.122,11.581,11.72,10.291,11.178,10.747,16.009,13.956,9.806,14.073,6.751,11.976,0.0,11.845,11.74
49,5.989,7.127000000000002,16.114,13.041,15.189,13.568,14.919,11.707,6.848,14.271,14.658,9.142,10.845,11.703,10.087,11.558,10.575,16.049,13.959,9.855,13.345999999999998,6.527,12.223,0.0,11.709,11.922
50,12.62,11.853,12.446,9.077,14.431,15.401,13.204,13.853,12.376,13.187,12.007,10.77,10.773,13.299,8.513,9.606,12.063,13.508,12.89,9.943,12.031,8.919,12.455,2.0,11.966,12.252
51,8.977,6.086,9.933,10.572,9.069,11.36,9.817,12.031,7.397,12.725,12.985,9.323,7.985,10.061,9.504,10.528,9.486,13.866,11.807,12.785,8.532,3.803,13.41,2.0,10.089,11.807
52,6.357,7.8610000000000015,10.52,8.466000000000001,9.793,9.217,9.985,9.661,7.6179999999999986,13.083,12.973,7.495,10.733,10.374,6.982,6.811,10.707,11.16,11.496,10.548,10.472,5.437,12.725,2.0,9.586,8.656
53,6.707999999999998,8.729,9.95,8.817,10.993,13.035,12.505999999999998,9.98,11.257,12.893,11.938,8.657,8.537,11.312,8.46,8.712,10.764,12.823,14.418,12.970999999999998,10.447,5.118,12.225,2.0,10.489,11.106
54,13.02,9.403,15.964,9.427,14.892,15.917,14.179,10.606,11.841,14.706,13.554,11.328,10.515999999999998,13.83,11.675999999999998,12.451,12.973,15.499,15.652,13.206,16.631,9.523,13.538,1.0,13.058,13.75
55,4.919,8.217,11.974,7.744,12.29,12.836,11.292,9.483,10.784,12.852,11.806,9.562,10.108,11.225,10.03,10.48,11.606,13.15,14.68,10.608,10.919,5.6,11.48,2.0,10.593,12.032
56,7.794,13.154000000000002,14.407,13.783,13.403,17.752,15.521,12.675,16.197,14.644,14.677,11.595,10.039,14.667,14.446,14.223,14.318,16.322,15.686,16.702,17.195999999999998,11.197,14.272,0.0,14.116,14.657
57,9.734,11.45,13.593,11.965,13.414,17.479,10.915,11.316,11.787,12.993,12.282,10.693,9.061,13.184,9.508,10.733,12.097,13.11,12.355,15.383,13.845,10.731,12.369000000000002,0.0,12.174,13.603
58,5.069,6.896,9.941,8.322000000000001,13.522,10.56,14.456,12.103,12.728,14.441,14.007,10.472,10.938,11.795,7.88,10.273,13.818,16.679000000000002,17.087,13.111,10.813,10.523,13.095,0.0,11.675,13.177
59,10.632,11.877,11.589,7.947,13.049,12.636,13.918,11.472,13.899,12.418,9.465,7.572999999999999,8.008,11.071,12.861,11.764,11.025,14.681,12.942,13.058,10.696,7.046,9.393,1.0,11.262,11.87
60,5.8,6.869,15.946,12.929,15.206,13.715,14.735,11.962,7.115,14.465,14.409,8.782,10.901,11.965,10.225,10.958,10.792,16.046,14.17,9.948,14.105,6.345,12.384,0.0,11.729,11.834
61,8.91,8.145,9.989,8.901,11.376,10.722,12.362,11.779000000000002,13.973,11.435,12.903,6.654,5.749,10.35,11.277,10.259,12.42,11.238,13.367,11.882,8.946,6.097,11.611,2.0,10.45,11.735
62,8.988,5.9510000000000005,10.177,10.567,8.619,11.844,9.666,12.029000000000002,7.254,12.429,13.14,9.171,7.902,9.888,8.943999999999997,10.694,9.499,13.722,11.275,12.783,8.603,4.453,12.761,2.0,10.016,11.323
63,5.016,6.124,9.894,10.228,11.839,13.431,11.805,10.134,13.732,12.505999999999998,13.052,7.644,10.835,12.847,7.595,10.313,13.611,13.045,13.718,13.657,14.859000000000002,7.935,11.287,0.0,11.092,12.559
64,6.651,9.806,9.007,11.164,11.628,13.972,12.962,14.119000000000002,14.425999999999998,12.517,13.465,9.554,9.587,11.202,9.975,11.595999999999998,12.924,13.808,11.47,13.493,10.253,7.417999999999998,12.747,1.0,11.467,11.778
65,10.11,10.747,12.986,12.0,8.105,15.0,10.841,11.456,10.417,12.866,12.231,7.131,8.193,11.390999999999998,9.744,11.524,13.81,15.306,12.928,15.629,12.947,8.175,11.037,0.0,11.503,13.562
66,9.219,12.396,10.1,7.63,12.416,15.633,14.17,8.485,11.229,13.371,12.848,9.285,10.151,11.032,7.691,7.737999999999999,11.769,12.782,15.484000000000002,13.849,13.285,8.849,12.637,0.0,11.393,13.433
67,8.024,10.251,12.829,12.998,13.307,13.781,11.13,8.677,13.796,13.907,14.022,9.044,9.969,12.849,10.53,10.25,13.172,13.937,14.998,11.119000000000002,11.857,8.945,12.961,1.0,11.841,12.708
68,4.894,6.363,11.140999999999998,12.398,12.755,11.185,12.889,10.49,12.630999999999998,12.499,13.988,8.642000000000001,6.772,13.265,11.242,13.454,12.708,13.501,16.253,16.942999999999998,14.7,9.67,12.719,0.0,11.787,12.351
69,12.509,9.526,15.062,9.209,13.419,13.957,12.807,13.321,13.324000000000002,12.811,11.398,8.658,9.554,12.945,9.005,7.987999999999999,12.711,14.970999999999998,14.818,15.639,15.419,8.506,12.272,0.0,12.166,13.388
70,5.2189999999999985,6.856,9.229,8.294,13.39,10.765,14.329,11.769,13.03,14.667,14.187,10.519,10.283,11.177,8.26,10.289,13.719,16.287,16.914,12.621,10.661,10.389,12.727,0.0,11.547,13.183
71,6.365,6.06,8.002,7.126,10.981,13.791,11.224,8.557,9.254,14.012,12.753,9.81,9.485,11.214,7.553,8.257,10.44,14.872,13.862,12.887,12.362,6.948,11.619000000000002,2.0,10.323,12.582
72,9.656,11.018,12.657,12.744000000000002,15.201,15.167,13.72,11.583,14.692,13.593,15.165,9.489,9.204,13.311,11.64,13.896,13.153,14.146,15.267,17.159000000000002,14.136,11.068,13.36,1.0,13.088,13.51
73,5.525,8.075,9.391,8.056000000000001,11.45,9.398,8.535,9.979,10.935,13.666,14.166,8.881,9.651,9.842,10.768,9.88,12.009,13.187,14.749,11.565,13.928,7.27,11.597,1.0,10.544,12.457
74,10.172,9.471,14.199000000000002,6.1629999999999985,12.29,10.715,12.487,12.889,16.625999999999998,11.917,8.856,10.758,10.63,11.734000000000002,7.602,5.454,13.601,11.764,8.561,8.98,11.726,7.084,8.541,2.0,10.531,10.718
75,4.967,8.851,10.351,9.498,12.167,11.488,13.109000000000002,10.048,12.841,14.055,13.052,11.164,11.674,14.186,11.286,9.713,12.049,15.299,13.558,15.035,12.53,7.893,13.084,0.0,11.648,14.069
76,5.965,8.675,9.141,7.813,11.559,10.168,9.007,10.044,11.132,13.75,13.804,8.88,9.168,9.916,11.015999999999998,10.049,11.962,12.367,14.925,11.531,14.025,7.37,11.547,1.0,10.601,11.957
77,5.079,6.107,11.603,12.11,12.389,10.765999999999998,12.729,10.515,11.603,12.541,14.238,8.764,7.056,12.439,11.518,12.884,12.241,14.058,15.722,17.173,14.599,9.55,12.657,0.0,11.667,12.166
78,9.793,10.228,13.19,11.649,8.435,15.529000000000002,10.628,11.263,10.731,12.8,12.116,7.087999999999999,8.408999999999999,12.22,9.82,12.501,13.039,15.827,13.305,15.556,13.382,7.731,11.237,0.0,11.586,13.807
79,7.9860000000000015,8.828,11.59,9.925,11.911,15.956,11.755999999999998,11.623,7.705,13.822,13.231,8.92,8.139,9.539,7.4460000000000015,9.147,8.73,12.54,14.799,9.227,10.322,5.9670000000000005,13.037,1.0,10.528,11.349
80,12.615,11.871,12.372,9.014,14.53,14.858,13.241,13.661,12.392,13.263,12.595,11.657,10.685,13.402,8.446,9.21,11.874,13.22,12.779000000000002,10.104,12.705,9.094,12.739,2.0,12.014,12.17
81,6.447,7.62,12.2,9.312,13.225,11.361,13.129,9.132,8.775,13.657,12.418,9.997,10.819,13.741,9.41,13.025,14.220999999999998,14.526,15.244000000000002,17.614,14.13,8.181000000000001,13.043,0.0,11.793,14.288
82,6.037000000000001,11.404000000000002,11.484000000000002,6.8260000000000005,11.804,10.61,10.169,9.679,10.966,11.802,11.94,10.208,9.398,9.737,9.893,10.931,12.237,14.322,12.74,16.663,14.57,9.922,11.869000000000002,1.0,11.095999999999998,14.841
83,13.954,13.942,14.451,10.233,15.2,17.61,12.45,13.481,11.785,12.804,10.559,11.427,10.441,15.108,13.259,12.145,12.531,16.191,15.43,17.063,13.651,11.132,12.587,1.0,13.367,13.425999999999998
84,6.027,7.606,12.602,10.298,11.886,16.139,16.015,13.333,14.464,12.616,10.726,12.944,12.705,10.008,10.431,9.605,13.052,13.322,13.544,9.796,10.927,8.012,13.245,1.0,11.709,13.324000000000002
85,5.035,11.422,10.935,8.925,11.77,5.5120000000000005,10.045,7.305,5.13,13.265,10.385,7.439,9.121,12.638,13.522,12.103,11.318,13.796,13.172,14.208,11.893,8.946,10.35,2.0,10.358,11.421
86,10.174,9.64,9.553,11.217,12.574000000000002,13.458,9.045,12.128,11.871,14.065,12.913,9.844,7.806,8.715,8.879,11.661,13.521,15.206,13.951,10.785,13.055,5.712999999999999,12.569,0.0,11.232,12.326
87,7.959,7.223,10.246,12.126,11.258,13.574000000000002,12.317,10.484000000000002,10.312,12.659,12.01,9.825,9.701,11.31,10.18,9.698,10.777,14.35,14.552,11.662,12.238,7.59,12.39,1.0,11.063,11.34
88,6.295,9.855,8.895,11.076,11.104,14.453,13.057,14.045,14.44,12.536,13.32,9.242,9.994,10.857,9.337,12.306,12.492,13.875,12.025,14.158,11.098,7.3210000000000015,12.970999999999998,1.0,11.511,11.774
89,9.563,13.042,9.992,8.124,12.481,15.345,14.071,9.091,11.595999999999998,13.15,13.071,9.742,9.974,11.601,7.874,7.134,12.093,12.84,15.25,13.244000000000002,13.348,8.514,12.554,0.0,11.465,13.717
90,10.656,13.618,14.726,15.451,13.8,16.355999999999998,13.711,10.421,14.854,12.929,12.366,9.626,9.188,12.550999999999998,12.723,16.035,13.299,15.8,14.537,17.91,16.741,10.542,12.052,1.0,13.474,14.116
91,7.999,10.296,12.998,13.317,13.781,14.151,10.822,9.08,13.54,14.213,13.024,7.886,9.667,11.845999999999998,10.237,10.835,13.568,14.429,15.857,11.368,12.317,9.493,13.004,1.0,11.901,12.625
92,11.962,14.731,17.422,7.033,13.498,16.544,14.101,12.834,14.642,13.578,14.091,12.21,10.107,10.742,10.439,9.642,10.273,13.618,14.318,9.625,16.427,9.677,12.274,0.0,12.6,12.509
93,11.714,8.318,16.769000000000002,8.363999999999999,14.571,16.426,15.55,11.005,17.15,14.712,14.369000000000002,11.581,8.519,13.72,8.996,11.657,13.413,13.892,15.577,13.539,12.375,11.768,13.393,0.0,12.929,13.923
94,4.87,9.989,11.645,8.582,13.267,16.08,12.829,13.388,13.511,12.949000000000002,13.692,8.521,6.599,14.298,10.783,12.634,10.668,13.722,15.732,14.173,12.869000000000002,7.176,13.197,2.0,11.79,14.163
95,13.104,8.575,5.489,7.914,10.841,16.043,11.941,12.462,14.555,14.423,12.953,7.603,8.975,9.967,8.266,6.524,10.03,11.624,11.982,11.599,8.919,5.428,11.547,2.0,10.468,12.693
96,4.748,7.121,9.383,8.847999999999997,13.73,10.345,14.174,12.691,12.453,14.343,14.425999999999998,10.025,10.431,11.017,8.597000000000001,10.28,13.999,15.945,17.065,12.623,10.592,10.396,12.609000000000002,0.0,11.558,13.111
97,13.042,14.314,12.813,10.184,13.306,17.042,12.425,10.144,14.238,12.012,12.366,9.188,6.824,9.279,11.22,14.56,13.043,14.209,13.983,9.133,14.241,10.154,11.885,0.0,12.157,13.767
98,5.307,6.306,11.734000000000002,11.914,12.713,10.938,12.67,10.826,11.804,12.243,13.937,8.592,7.0310000000000015,12.868,10.848,13.447,12.49,13.383,15.518,16.317,13.844,9.04,12.241,0.0,11.566,12.353
99,7.782999999999999,13.369000000000002,14.482,13.257,13.469,17.79,15.928,12.436,15.82,14.443,14.34,11.352,10.238,14.582,14.407,14.575,14.113,16.309,15.422,16.572,17.202,11.359000000000002,14.454,0.0,14.074000000000002,14.52
100,10.674,11.909,12.74,9.758,14.399,14.129,11.768,10.947,13.623,12.572,11.173,10.224,13.803,14.949000000000002,8.772,9.413,14.455,14.089,13.782,13.421,18.868,11.088,10.797,0.0,12.494000000000002,13.255999999999998
101,6.058,12.229,15.329,11.455,11.637,15.991,13.532,12.226,15.468,13.004,12.432,11.604,9.894,13.017,8.964,10.06,11.913,14.042,14.557,14.575,13.503,7.641,12.722,1.0,12.254,13.32
102,5.36,8.298,7.592,12.496,10.232,13.183,11.733,11.745,10.855,12.611,12.85,8.046,6.938,10.601,9.174,5.9510000000000005,12.161,10.814,14.21,13.49,11.041,7.1960000000000015,11.885,1.0,10.368,12.081
103,6.856,11.113,11.8,7.7639999999999985,10.593,11.427,11.162,8.589,10.422,14.625,14.374,9.73,10.961,11.504,13.581,11.087,12.892,16.688,15.111,11.18,11.015999999999998,9.383,14.468,0.0,11.579,12.231
104,9.181,4.869,10.036,10.637,11.552,10.679,10.791,7.691,6.059,12.401,13.649,8.35,8.639,10.601,9.397,16.105,11.438,13.800999999999998,14.088,14.509,13.366,5.278,13.311,0.0,10.714,12.36
105,5.052,8.807,10.536,7.32,11.438,13.838,9.078,10.453,7.691,13.845,11.161,9.502,5.6960000000000015,10.297,7.348,7.603,11.813,12.89,13.122,13.042,11.803,8.85,12.913,2.0,10.178,12.34
106,8.357000000000001,9.053,11.463,8.179,11.949000000000002,14.086,12.465,11.925,10.6,14.561,12.63,8.267999999999999,9.69,11.921,8.877,11.288,12.318,14.705,14.088,10.62,11.71,9.202,16.031,2.0,11.478,12.402
107,9.776,8.316,8.992,10.75,12.939,17.232,12.6,13.095999999999998,13.741,13.303,12.22,11.511,8.804,10.392,10.241,11.625,11.436,15.777,12.713,15.996,14.665,8.99,13.253,2.0,12.103,11.626
108,13.909,14.354,14.7,9.973,15.283,17.416,11.959,13.463,11.708,12.948,11.222,11.866,10.507,14.332,13.117,12.406,12.31,15.884,14.867,17.41,13.815,11.164,12.369000000000002,1.0,13.347,13.503
109,6.915,9.51,13.229,10.085,12.808,17.303,15.755,12.543,14.433,14.536,14.445,10.952,12.014,13.585,10.914,13.562,11.807,17.09,15.389,16.041,12.593,11.592,13.461,0.0,13.068,13.175999999999998
110,5.092,7.255,6.171,7.752000000000002,11.444,6.367000000000001,9.975,10.723,5.985,13.479,13.32,7.2029999999999985,9.734,9.488,7.726,7.172999999999999,10.091,14.673,14.11,13.629,7.5,5.3039999999999985,14.017,2.0,9.487,12.466
111,11.214,7.3370000000000015,10.462,10.466,11.89,14.368,9.155,10.241,8.144,11.936,10.684,6.2360000000000015,9.093,9.913,9.23,9.177,10.111,13.554,12.606,16.926,8.636000000000001,6.442,10.473,1.0,10.361,8.736
112,10.138,10.271,12.935,11.515,8.566,14.657,10.711,11.205,10.75,12.797,12.227,7.039,8.291,11.892,10.076,11.671,13.459,15.563,13.168,15.649,13.008,8.191,11.322,0.0,11.526,13.754
113,5.711,5.075,8.551,6.573,8.953,11.101,9.792,11.212,9.116,13.800999999999998,13.738,7.877000000000002,6.193,8.289,5.836,8.101,10.583,11.835,13.809,7.11,8.4,5.371,13.337,2.0,9.146,12.337
114,18.669,12.581,14.675999999999998,9.031,14.929,14.183,15.841,11.912,12.538,12.259,12.928,10.93,11.907,14.085,14.064,14.134,15.239,15.95,15.622,14.628,17.082,8.458,11.6,0.0,13.619000000000002,15.55
115,12.848,9.614,15.949000000000002,9.222,14.54,16.515,14.001,10.466,11.884,15.402,13.507,11.328,10.803,14.146,12.048,12.873,12.722,15.317,15.378,13.692,15.956,9.807,12.951,0.0,13.086,13.496
