,FILIERE,OUTPUT,CONFIDENCE,INSERTIONSATISFACTION,RELATEDTOFIELD,CONDITIONS,SALAIRE
292,0.0,13.152,1.0,2.0,1.0,2.0,2.0
293,2.0,12.415,4.0,5.0,4.0,4.0,4.0
294,2.0,14.568,1.0,2.0,2.0,1.0,2.0
295,2.0,14.664,2.0,2.0,1.0,1.0,2.0
296,2.0,10.026,2.0,2.0,3.0,2.0,1.0
297,2.0,11.863,2.0,2.0,3.0,3.0,1.0
298,0.0,12.331,1.0,2.0,1.0,4.0,3.0
299,1.0,12.04,2.0,1.0,2.0,2.0,2.0
300,1.0,15.552,2.0,1.0,3.0,4.0,2.0
301,0.0,12.929,1.0,3.0,2.0,2.0,2.0
302,0.0,15.051,2.0,1.0,1.0,2.0,3.0
303,0.0,12.572,2.0,1.0,2.0,3.0,2.0
304,2.0,12.159,1.0,3.0,4.0,1.0,1.0
305,1.0,13.486,1.0,1.0,2.0,2.0,1.0
306,2.0,12.407,2.0,1.0,2.0,2.0,3.0
307,2.0,12.518,1.0,4.0,3.0,1.0,2.0
308,2.0,14.666,1.0,2.0,2.0,1.0,2.0
309,0.0,12.387,1.0,1.0,5.0,3.0,3.0
310,1.0,13.377,1.0,2.0,2.0,5.0,2.0
311,0.0,14.219,5.0,2.0,2.0,2.0,3.0
312,0.0,12.07,2.0,3.0,2.0,1.0,1.0
313,0.0,13.724,2.0,2.0,2.0,2.0,1.0
314,1.0,13.296,1.0,2.0,1.0,5.0,2.0
315,2.0,14.365,1.0,2.0,2.0,1.0,2.0
316,0.0,13.976,2.0,2.0,2.0,2.0,1.0
317,2.0,13.472,2.0,2.0,1.0,2.0,2.0
318,0.0,12.887,2.0,2.0,2.0,2.0,2.0
319,2.0,10.201,1.0,3.0,2.0,3.0,2.0
320,2.0,13.008,3.0,1.0,1.0,1.0,1.0
321,1.0,7.143,2.0,1.0,2.0,2.0,1.0
322,0.0,12.98,2.0,2.0,2.0,3.0,2.0
323,0.0,14.041,4.0,2.0,2.0,1.0,2.0
324,1.0,12.203,2.0,2.0,2.0,1.0,2.0
325,2.0,11.419,2.0,4.0,1.0,2.0,2.0
326,1.0,12.193,2.0,5.0,2.0,2.0,1.0
327,0.0,12.468,2.0,2.0,2.0,2.0,2.0
328,0.0,12.052,1.0,3.0,1.0,1.0,2.0
329,0.0,12.358,1.0,2.0,1.0,4.0,3.0
330,0.0,13.043,1.0,2.0,1.0,2.0,2.0
331,1.0,13.123,2.0,2.0,2.0,1.0,1.0
332,0.0,14.027,1.0,2.0,2.0,2.0,2.0
333,2.0,12.008,1.0,2.0,3.0,3.0,1.0
334,2.0,11.674,2.0,1.0,1.0,3.0,2.0
335,0.0,13.121,2.0,1.0,2.0,2.0,3.0
336,1.0,11.683,2.0,1.0,2.0,2.0,2.0
337,1.0,11.592,2.0,2.0,1.0,1.0,2.0
338,1.0,11.581,1.0,1.0,1.0,1.0,2.0
339,2.0,12.303,1.0,2.0,3.0,2.0,2.0
340,1.0,14.479,2.0,2.0,1.0,2.0,1.0
341,2.0,11.454,3.0,1.0,2.0,3.0,2.0
342,1.0,11.762,1.0,1.0,2.0,2.0,3.0
343,0.0,12.092,1.0,2.0,5.0,1.0,1.0
344,1.0,11.931,4.0,3.0,2.0,1.0,2.0
345,1.0,12.029,2.0,1.0,5.0,1.0,5.0
346,1.0,12.116,1.0,1.0,2.0,2.0,3.0
347,1.0,11.662,1.0,1.0,2.0,1.0,2.0
348,0.0,12.222,1.0,3.0,1.0,1.0,2.0
349,0.0,15.475,2.0,2.0,2.0,2.0,2.0
350,1.0,8.331,1.0,2.0,1.0,2.0,2.0
351,1.0,11.246,3.0,2.0,2.0,2.0,3.0
352,0.0,14.013,1.0,2.0,2.0,2.0,2.0
353,1.0,12.684,2.0,1.0,2.0,2.0,1.0
354,2.0,10.322,2.0,2.0,3.0,2.0,1.0
355,1.0,12.87,2.0,2.0,2.0,3.0,2.0
356,0.0,13.797,1.0,2.0,2.0,2.0,2.0
357,0.0,13.036,2.0,2.0,2.0,2.0,1.0
358,0.0,13.715,2.0,2.0,2.0,2.0,3.0
359,1.0,12.894,2.0,1.0,2.0,2.0,2.0
360,2.0,11.776,3.0,2.0,2.0,3.0,2.0
361,0.0,14.009,2.0,3.0,2.0,2.0,2.0
362,2.0,12.693,2.0,1.0,1.0,1.0,1.0
363,1.0,12.273,2.0,1.0,5.0,2.0,5.0
364,2.0,11.414,2.0,2.0,1.0,2.0,2.0
365,0.0,13.178,2.0,1.0,1.0,2.0,1.0
366,2.0,12.092,2.0,2.0,1.0,3.0,2.0
367,2.0,11.96,2.0,1.0,2.0,2.0,3.0
368,1.0,15.605,2.0,1.0,3.0,4.0,2.0
369,0.0,12.554,2.0,1.0,1.0,2.0,1.0
370,2.0,12.703,1.0,4.0,3.0,1.0,2.0
371,2.0,12.23,1.0,4.0,3.0,1.0,3.0
372,0.0,15.153,1.0,2.0,2.0,3.0,4.0
373,1.0,12.806,2.0,1.0,2.0,2.0,1.0
374,0.0,13.374,2.0,2.0,3.0,2.0,3.0
375,1.0,11.591,1.0,1.0,2.0,1.0,2.0
376,2.0,10.649,1.0,2.0,2.0,4.0,2.0
377,0.0,13.477,5.0,2.0,2.0,2.0,3.0
378,0.0,13.342,2.0,3.0,1.0,2.0,2.0
379,0.0,12.338,2.0,2.0,1.0,1.0,3.0
380,0.0,13.371,2.0,3.0,2.0,2.0,2.0
381,0.0,12.378,2.0,2.0,3.0,1.0,2.0
382,0.0,14.005,2.0,2.0,2.0,3.0,2.0
383,2.0,11.896,2.0,1.0,2.0,3.0,2.0
384,1.0,11.539,1.0,1.0,2.0,1.0,2.0
385,2.0,13.848,2.0,2.0,1.0,2.0,2.0
386,0.0,12.363,1.0,1.0,2.0,2.0,1.0
387,2.0,8.225,5.0,2.0,1.0,4.0,2.0
388,0.0,13.275,1.0,2.0,2.0,2.0,1.0
389,1.0,13.429,1.0,2.0,2.0,2.0,2.0
390,1.0,11.896,2.0,2.0,2.0,1.0,2.0
391,1.0,11.393,2.0,2.0,2.0,1.0,3.0
392,1.0,12.035,2.0,1.0,2.0,1.0,1.0
393,0.0,13.679,2.0,2.0,3.0,2.0,2.0
394,2.0,13.941,2.0,2.0,2.0,1.0,2.0
395,2.0,11.921,1.0,2.0,3.0,2.0,2.0
396,0.0,13.919,1.0,2.0,2.0,2.0,2.0
397,1.0,10.683,4.0,4.0,2.0,1.0,2.0
398,1.0,13.475,2.0,1.0,3.0,2.0,3.0
399,2.0,11.903,2.0,2.0,2.0,2.0,2.0
400,0.0,11.797,1.0,3.0,1.0,1.0,2.0
401,0.0,13.665,1.0,1.0,2.0,2.0,1.0
402,0.0,14.482,1.0,5.0,5.0,2.0,2.0
403,2.0,12.094,2.0,1.0,2.0,2.0,2.0
404,1.0,12.955,2.0,1.0,2.0,2.0,1.0
405,1.0,12.186,2.0,2.0,2.0,1.0,2.0
406,1.0,9.079,2.0,1.0,2.0,5.0,2.0
407,1.0,12.868,1.0,2.0,5.0,1.0,2.0
408,0.0,12.144,2.0,1.0,2.0,1.0,2.0
409,0.0,12.461,1.0,3.0,2.0,2.0,3.0
410,0.0,12.569,3.0,1.0,3.0,1.0,1.0
411,2.0,14.177,1.0,1.0,3.0,2.0,2.0
412,1.0,7.548,2.0,1.0,2.0,2.0,1.0
413,0.0,12.382,2.0,1.0,2.0,1.0,2.0
414,2.0,12.04,1.0,2.0,2.0,2.0,2.0
415,2.0,11.623,2.0,1.0,5.0,1.0,1.0
416,1.0,9.654,2.0,1.0,2.0,5.0,2.0
417,0.0,13.302,2.0,2.0,2.0,1.0,5.0
418,2.0,11.383,2.0,1.0,5.0,1.0,1.0
419,0.0,13.481,1.0,2.0,2.0,2.0,3.0
420,2.0,12.316,1.0,2.0,3.0,2.0,2.0
421,1.0,11.715,3.0,2.0,2.0,2.0,1.0
422,2.0,14.485,1.0,2.0,2.0,1.0,2.0
423,1.0,12.341,1.0,2.0,5.0,1.0,2.0
424,1.0,12.408,2.0,1.0,2.0,2.0,2.0
425,1.0,14.35,2.0,2.0,1.0,2.0,1.0
426,0.0,13.927,5.0,2.0,2.0,2.0,3.0
427,2.0,8.251,4.0,2.0,1.0,4.0,2.0
428,1.0,11.105,1.0,2.0,1.0,2.0,5.0
429,0.0,14.158,2.0,2.0,2.0,2.0,1.0
430,1.0,11.587,2.0,1.0,2.0,2.0,2.0
431,1.0,12.821,2.0,1.0,2.0,2.0,1.0
432,0.0,13.365,2.0,1.0,2.0,1.0,2.0
433,1.0,12.349,2.0,2.0,2.0,1.0,1.0
434,0.0,13.009,1.0,3.0,2.0,1.0,3.0
435,1.0,13.711,1.0,1.0,1.0,2.0,2.0
436,0.0,12.882,1.0,2.0,2.0,1.0,4.0
437,2.0,12.254,3.0,2.0,2.0,3.0,2.0
438,0.0,13.841,2.0,2.0,2.0,2.0,1.0
439,1.0,12.256,2.0,1.0,2.0,2.0,4.0
440,0.0,14.138,1.0,1.0,2.0,2.0,1.0
441,0.0,13.426,2.0,3.0,2.0,2.0,1.0
442,1.0,13.207,2.0,1.0,2.0,2.0,1.0
443,2.0,12.456,1.0,1.0,2.0,2.0,1.0
444,1.0,13.274,2.0,3.0,2.0,2.0,1.0
445,1.0,13.666,1.0,1.0,2.0,2.0,2.0
446,1.0,11.453,1.0,1.0,2.0,1.0,3.0
447,0.0,15.485,2.0,2.0,2.0,2.0,2.0
448,0.0,15.771,2.0,2.0,2.0,2.0,2.0
449,1.0,11.965,1.0,3.0,1.0,1.0,2.0
450,0.0,14.065,1.0,2.0,2.0,2.0,2.0
451,2.0,13.781,2.0,2.0,1.0,2.0,2.0
452,1.0,11.33,4.0,3.0,1.0,1.0,2.0
453,1.0,14.081,1.0,1.0,2.0,2.0,2.0
454,1.0,12.285,2.0,1.0,2.0,2.0,4.0
455,1.0,11.966,2.0,2.0,2.0,2.0,1.0
456,0.0,12.951,1.0,2.0,2.0,1.0,4.0
457,1.0,13.17,2.0,1.0,2.0,2.0,2.0
458,0.0,13.536,2.0,3.0,2.0,2.0,1.0
459,1.0,11.022,4.0,3.0,1.0,1.0,2.0
460,0.0,12.622,1.0,2.0,1.0,2.0,2.0
461,0.0,12.839,2.0,1.0,2.0,2.0,2.0
